Name of Event,Category,Date(s),Location,Estimated Size of Event,Number of People/ Capacity of Space,Source for # People,Source Org Title,Article Title,Mention of Police Presence (Y/N),Source for police presence,Official Media Presence,Notes_x,Source 1 URL,Source 2 URL,Address,Venue Capacity,Venue Type,Completed,Main Source for Search,Notes_y,Source,Latitude,Longitude
Alesso / Nathan Scott / Midnight Kids,Music,2018-11-02 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/alesso-nathan-scott-midnight-kids,https://www.facebook.com/reactpresents/photos/-just-announced-midnight-kids-and-dj-nathan-scott-join-alesso-nov-2nd-at-the-ara/10155763204117374/,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Terrapin Flyer,Music,2018-08-09 00:00:00,The Tonic Room,Small,125,https://www.bizbash.com/venue-directory/bars-nightclubs-lounges/bars-lounges/venue/13411631/tonic-room,Concert Archives,Terrapin Flyer,,,,,https://www.concertarchives.org/concerts/terrapin-flyer,,,,,,,,,,
Chill Out Summer Acoustic Tour,Music,2018-08-09 00:00:00,Park West,Medium,1000,https://www.eventective.com/chicago-il/park-west-402711.html,Concert Archives,Chill Out Summer Acoustic Tour,,,,,https://www.concertarchives.org/concerts/chill-out-summer-acoustic-tour--5,https://www.altpress.com/news/sleeping-with-sirens-summer-acoustic-tour/,"322 W Armitage Ave, Chicago, IL 60614",1000.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://www.eventective.com/chicago-il/park-west-402711.html,41.918567,-87.637434
Sparta,Music,2018-08-10 00:00:00,Bottom Lounge,Small,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,Sparta,,,,,https://www.concertarchives.org/concerts/sparta--4,,,,,,,,,,
NGHTMRE B4 XMAS,Music,2018-11-03 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/11/3/freaky-deaky-nghtmre,https://chicagoconcertreviews.com/2018/10/02/sting-shaggy-photos/,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Sincere Engineer / Arms Aloft / Guerrilla Poubelle / Tonia Bug ,Music,2018-08-11 00:00:00,Beat Kitchen,Small,275,https://www.beatkitchen.com/private-parties/,Concert Archives,Sincere Engineer / Arms Aloft / Guerrilla Poubelle / Tonia Bug ,,,,,https://www.concertarchives.org/concerts/sincere-engineer-arms-aloft-guerrilla-poubelle-tonia-bug,,,,,,,,,,
Simulacrum,Music,2018-08-11 00:00:00,Reggies,Small,300,https://www.songkick.com/concerts/39931428-dri-at-reggies-rock-club,Concert Archives,Simulacrum / John Zorn,,,,,https://www.concertarchives.org/concerts/simulacrum-with-john-zorn-at-reggie-s-rock-club-august-11-2018,,,,,,,,,,
Jawbreaker,Music,2018-11-04 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/jawbreaker-124d59bc-97f3-4f51-b834-be5f6e0f690b,https://www.setlist.fm/setlist/jawbreaker/2018/aragon-ballroom-chicago-il-1b9651c0.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
The Click Part 2,Music,2018-11-08 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/the-click-part-2,https://do312.com/events/2018/11/8/ajr-the-click-tour-part-2,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Tash Sultana / Ocean Alley,Music,2018-11-09 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/tash-sultana-ocean-alley-9811d8e0-66ee-46b8-9e39-b4534ccee091,https://www.jambase.com/show/ocean-alley-aragon-ballroom-20181109,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Steve Aoki / Bear Grillz / Brohug / Bok Nero,Music,2018-11-10 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/steve-aoki-bear-grillz-brohug-bok-nero,https://chicago.ohmyrockness.com/shows/332471-steve-aoki-bear-grillz-brohug-bok-nero-aragon-ballroom,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Rufus Du Sol,Music,2018-11-14 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/rufus-du-sol--8,https://www.jambase.com/show/rufus-du-sol-aragon-ballroom-20181114,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Playboi Carti,Music,2018-11-15 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/playboi-carti,https://www.setlist.fm/setlist/playboi-carti/2018/aragon-ballroom-chicago-il-5b97eb94.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
REZZ,Music,2018-11-16 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/11/16/rezz,https://www.jambase.com/show/rezz-aragon-ballroom-20181116,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Jack White,Music,2018-11-19 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/jack-white-19c65927-dbe8-4271-a173-2e0b2a487724,https://www.setlist.fm/setlist/jack-white/2018/aragon-ballroom-chicago-il-397d513.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
El Tri,Music,2018-11-21 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/el-tri-7c369089-3ec2-4aca-8278-46b7f4cc83bc,https://www.stubhub.ie/el-tri-tickets-el-tri-chicago-aragon-ballroom-11-21-2018/event/103834211/,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Louis the Child,Music,2018-11-23 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/louis-the-child-1344f7c1-55cc-45a8-8d53-759204fe2846,https://www.theuntz.com/events/louis-the-child-at-aragon-ballroom-11-23-2018/,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
"FREESTYLE FEST 2018 WITH LISA LISA, EXPOSE, CRYSTAL WATER & MORE",Music,2018-11-24 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/11/24/lisa-lisa,https://www.jambase.com/show/lisa-lisa-aragon-ballroom-20181124,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Prom Queen EP Release Show,Music,2018-08-12 00:00:00,Subterranean,Small,375,https://www.subt.net/private-parties/,Concert Archives,Prom Queen EP Release Show,,,,,https://www.concertarchives.org/concerts/prom-queen-ep-release-show,,,,,,,,,,
The Nights We Stole Christmas Night 1 - Houndmouth / Nathaniel Rateliff & The Night Sweats,Music,2018-11-29 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/the-nights-we-stole-christmas-night-1--2,https://www.setlist.fm/festival/2018/the-nights-we-stole-christmas-2018-3d7d56b.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
The Smashing Pumpkins,Music,2018-11-30 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/the-smashing-pumpkins--64,https://www.setlist.fm/setlist/the-smashing-pumpkins/2018/aragon-ballroom-chicago-il-73970afd.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Hundreds of AU / Coma Regalia / Crowning / Grief Harvest / Sleep Debt,Music,2018-08-05 00:00:00,TCC Chicago,Small,,,Concert Archives,Hundreds of AU / Coma Regalia / Crowning / Grief Harvest / Sleep Debt,,,,,https://www.concertarchives.org/concerts/hundreds-of-au-coma-regalia-crowning-grief-harvest-sleep-debt,,,,,,,,,,
The Night we stole Christmas - grandson,Music,2018-11-30 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/the-night-we-stole-christmas--3,https://www.setlist.fm/setlist/grandson/2018/aragon-ballroom-chicago-il-63970a97.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
"The Nights We Stole Christmas - Walk the Moon, CHVRCHES, Flora Cash",Music,12/1/2018 - 12/2/2018,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/the-nights-we-stole-christmas-6ba53825-5342-4731-a5ba-45545a4338ac,https://www.setlist.fm/festival/2018/the-nights-we-stole-christmas-2018-3d7d56b.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
101WKQX THE NGIHTS WE STOLE CHRISTMAS WITH DEATH CAB FOR CUTIES,Music,2018-12-02 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/12/2/101wkqx-the-nights-we-stole-christmas-with-death-cab-for-cutie,https://www.jambase.com/show/death-cab-for-cutie-aragon-ballroom-20181202,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
